lon,lat,dist,ir,opt
204.3818,1.5863,19.328,0.7322,0.1688
133.9824,3.2333,19.819,0.473,0.2541
205.5159,-6.2946,19.428,0.431,0.1502
205.6538,-7.14,19.441,0.406,0.2197
89.8808,-4.7351,15.497,0.4137,0.213
225.8384,5.0053,19.033,0.4095,0.2313
164.9965,-2.9756,18.686,0.759,0.2529
175.007,8.4148,17.373,0.5001,0.3741
104.9259,-5.8492,16.537,0.3246,0.3793
167.8678,5.2115,18.553,0.6244,0.451
175.4155,-1.4003,18.34,0.9469,0.2757
143.2317,6.5511,20.714,0.361,0.2916
122.5482,0.2116,18.465,0.6199,0.1442
180.4592,-8.9951,16.261,0.4628,0.2587
198.4176,-1.2364,18.882,0.8349,0.248
161.654,-5.2504,18.877,0.5503,0.1686
218.995,-4.379,20.117,0.523,0.1912
136.7105,6.0289,21.724,0.5038,0.3336
139.4361,-8.6767,16.853,0.3606,0.2648
220.1269,3.57,19.969,0.5026,0.2128
112.2766,-3.2006,16.874,0.5166,0.3908
159.4073,-4.779,19.029,0.5462,0.121
160.8172,0.0304,18.931,0.9006,0.2472
169.5457,3.2383,18.489,0.7669,0.4837
76.481,3.2705,14.025,0.2897,0.3411
248.7801,-4.5673,15.935,0.3513,0.2566
66.4677,-3.1578,13.674,0.3027,0.2114
264.5733,0.6291,15.006,0.4812,0.2373
177.4151,-4.0012,18.316,0.8656,0.1342
156.1838,-6.7119,19.28,0.4255,0.175
196.8104,8.0483,18.159,0.3668,0.1957
214.1451,4.7773,20.365,0.4621,0.3048
237.1383,0.6458,17.217,0.6923,0.1296
62.1086,1.3595,12.874,0.3439,0.2469
125.1068,-8.993,16.265,0.3552,0.1806
249.1241,-0.8414,15.982,0.606,0.5347
171.8461,-2.9836,18.417,0.8453,0.3316
173.5676,6.8182,18.374,0.6192,0.4877
138.46,-0.8175,21.432,0.7944,0.1128
191.366,-9.3468,15.654,0.3666,0.2026
198.2388,-1.9358,18.87,0.7848,0.2187
134.4449,-4.8933,20.091,0.4425,0.2801
127.7632,-1.7365,19.765,0.682,0.0921
142.2934,-6.3644,20.847,0.4042,0.2847
200.5346,-5.3724,19.025,0.4847,0.1405
228.7492,2.5964,18.071,0.5613,0.2662
194.5068,6.8933,18.661,0.4307,0.2719
174.2474,0.2819,18.361,0.9264,0.3432
206.2952,-3.4958,19.5,0.6029,0.074
142.2559,4.5674,20.852,0.4449,0.2953
144.0764,5.666,20.598,0.3839,0.3083
65.226,2.4551,13.624,0.2949,0.181
110.5979,0.9292,16.545,0.5,0.2047
238.2187,2.049,16.891,0.5787,0.1819
312.6274,8.5293,12.993,0.312,0.4702
206.622,-2.1421,19.531,0.761,0.1342
99.0861,4.1888,16.405,0.2976,0.2207
197.9527,-8.9885,16.273,0.2965,0.0742
177.3127,-1.1579,18.317,0.9509,0.2181
142.046,0.5988,20.882,0.7458,0.2506
96.5428,-2.7785,15.83,0.4373,0.2094
82.7978,-1.7739,15.257,0.4613,0.3255
129.7708,3.4254,20.139,0.4463,0.436
104.1982,-0.6464,16.688,0.6055,0.2416
148.0286,-1.4503,20.099,0.7841,0.1567
203.1235,7.0115,19.222,0.3872,0.2265
243.5341,1.8848,15.766,0.5447,0.2504
245.7117,1.5072,16.577,0.5465,0.2443
